productid,productname ,productprice ,catid
P0067,Omen gaming keyboard,4309,Cat004
P0068,redgear keyboard,2199,Cat004
P0069,HP x12 keyboard,1799,Cat004
P0070,redgear mouse,1200,Cat004
P0071,Rog chakra mouse,5999,Cat004
P0072,Rog 32 inch 144hz monitor,15990,Cat004
P0073,Rog Strix gaming mouse,7890,Cat004
P0074,Rog Strix gaming keyboard,11890,Cat004
P0075,Rog gen 4 6.0Ghz Router,5700,Cat004
P0076,HP Q12 monitor,12390,Cat004
P0077,Dell R23 Cabinet,11990,Cat004
P0078,Nvidia RTX 3080,59999,Cat004
P0079,Amd Ryzen 5 4500,34999,Cat004
P0080,Amd Ryzen 9 5900x,68999,Cat004
P0081,Intel i7 11700,78999,Cat004
P0082,Itel i9 11900,109990,Cat004
