productid,productname ,productprice ,catid
P009,iQOO 7 Legend,39990,Cat001
P0010,Mi 11X Pro,39999,Cat001
P0011,OnePlus 9 Pro,64999,Cat001
P0012,Xiaomi Mi 11 Ultra,69990,Cat001
P0013,OnePlus 9,49990,Cat001
P0014,Samsung Galaxy S20 FE 5G,47999,Cat001
P0015,Vivo X60 Pro plus,64990,Cat001
P0016,Samsung Galaxy S21 Ultra,105999,Cat001
P0017,iPhone 12 Pro,115100,Cat001
P0018,iPhone 12 mini,66400,Cat001
P0019,OnePlus 8T,38999,Cat001
P0020,Samsung Galaxy Note 20 Ultra 5G,91999,Cat001
P0021,Google Pixel 4a,29999,Cat001
P0022,OnePlus Nord,24999,Cat001
P0023,OnePlus Nord CE 5G,22999,Cat001
P0024,Realme Narzo 30 5G,15999,Cat001
P0025,Realme X7 Max,26999,Cat001
P0026,Realme Narzo 30,12499,Cat001
P0027,Motorola Moto G60,17499,Cat001
P0028,Redmi Note 10S,14999,Cat001
P0029,Realme 8 Pro,17999,Cat001
P0030,Poco X3 Pro,18999,Cat001
